UNITID,EFYTOTLT2011,EFYTOTLT2010
100654,6388,6173
100654,5295,5108
100654,1093,1065
100663,20647,20395
100663,13004,12673
100663,7643,7722
100690,1062,1097
100690,508,570
100690,554,527
100706,8976,9102
100706,6984,7194
100706,1992,1908
100724,6517,6625
100724,5548,5493
100724,969,1132
100751,33681,30613
100751,27175,24965
100751,6506,5648
100760,3411,3423
100760,3411,3423
100812,4782,4918
100812,4782,4918
100830,7119,7227
100830,5833,5941
100830,1286,1286
100858,26840,26464
100858,21322,21039
100858,5518,5425
100937,1594,1611
100937,1571,1566
100937,23,45
101028,2525,2737
101028,2525,2737
101073,774,728
101073,774,728
101116,1353,1073
101116,1248,1002
101116,105,71
101143,4103,4112
101143,4103,4112
101161,6846,6557
101161,6846,6557
101189,3961,4075
101189,3316,3506
101189,645,569
101240,9949,10019
101240,9949,10019
101277,52,6841
101277,52,6841
101286,6992,8758
101286,6992,8758
101295,8505,3229
101295,8505,3229
101301,3385,716
101301,3385,716
101365,755,1233
101365,755,1233
101435,1315,124
101435,1315,83
101453,109,41
101453,73,2068
101453,36,2068
101462,2318,1053
101462,2318,1053
101471,1007,11379
101471,1007,9411
101480,11394,1968
101480,9526,2128
101480,1868,2128
101499,1956,13888
101499,1956,13888
101505,14856,16717
101505,14856,16717
101514,17627,342
101514,17627,342
101541,336,6637
101541,336,6637
101569,7058,6390
101569,7058,2233
101587,6871,4157
101587,2259,2572
101587,4612,2572
101602,2657,548
101602,2657,548
101648,494,2089
101648,494,2089
101675,1954,1984
101675,1954,1733
101693,1998,251
101693,1729,3493
101693,269,2833
101709,3474,660
101709,2779,6262
101709,695,6262
101736,6054,8685
101736,6054,7206
101879,8691,1479
101879,7282,4657
101879,1409,4657
101897,4647,2009
101897,4647,1948
101912,2100,61
101912,2048,2066
101912,52,2066
101949,2171,133
101949,2171,133
101958,151,1111
101958,151,1111
101994,1074,5911
101994,1074,5911
102030,5906,5145
102030,5906,3086
102049,5190,2059
102049,3118,567
