UNITID,LIAB011,LIAB910,ASSE011,ASSE910
100654,116267000,113050823,81817807,79610700
100663,1171668911,1088903701,2339292264,2236977186
100706,129274908,130385545,267736680,261995785
100724,262888167,204446635,136240954,136138305
100733,2220512,2203052,14041491,13098975
100751,1089231555,905840696,1614638164,1534341490
100760,10106770,10140149,25674983,22932492
100812,22925383,20650652,30351763,27065625
100830,77894493,39394693,53801659,51193331
100858,1056576025,812085277,1381618581,1269294273
101028,10579578,10445983,18064172,18033285
101143,10672636,5963711,26363375,24062130
101161,26209297,20850048,33122026,30817015
101240,37672484,35757086,61389450,57786909
101286,13211815,13217418,47833848,44136484
101295,32566382,31366693,90604601,83222628
101301,2086135,2036047,41536839,39336159
101462,4306732,4402545,10575316,9892885
101471,771806,690434,7008175,7366702
101480,116875958,114879272,83517403,79295032
101499,2068524,2158441,13564841,12969872
101505,67751506,69484963,44811953,37978183
101514,43438365,42375437,72613348,62481347
101569,20138635,18332283,29331086,26741275
101587,41845690,16856130,42654238,28355064
101602,7387267,7360352,18244292,18250392
101648,3957750,3827791,19744792,20023363
101709,35965518,36168552,55600137,54975399
101736,7048456,7163607,31116417,30655282
101879,64732813,38382782,96492173,91967262
101897,8313560,8285014,22248162,21010496
101949,4529579,5380751,17029661,16519553
101994,3480555,3483538,4631235,4555859
102030,12640233,13035605,35335571,31051613
102067,16583058,18393969,69869747,67517711
102076,14076720,8322184,22840497,22809163
102094,503301000,497886000,416896000,419271000
102313,10856593,10359907,19462209,18785290
102368,178608995,158690164,265619878,236101970
102429,20932651,22061418,56788445,54322641
102553,62254576,64705697,351759866,315496448
102614,90665882,84879142,468383153,397139554
102632,13742484,15387037,61415921,58283167
102711,,,,
103361,336494,640938,18056058,14465498
103529,123435653,106188494,223006702,204477441
104151,1306429000,1270088000,1130440000,1036795000
104160,83361520,88751785,57897763,55033945
104179,1385180000,1360046000,1069087000,973603000
104346,64541310,67227936,92314297,80739938
104425,29342278,30842174,52980436,48813724
104577,3344020,2933652,78312454,74882695
104708,,,,
105136,860986370,776002667,763604262,660052656
105145,,,,
105154,,,,
105206,6944742,12286533,22787108,17391342
105297,14761550,3909846,60451631,52777716
105330,527890628,547571782,417896760,368830300
105349,1828409,1300414,66416592,58528019
105428,,,,
105525,28640412,38180606,216959372,199062637
105668,,,,
105747,,,,
105792,,,,
106148,66200467,62504995,76587228,65289513
106245,118210559,119504456,191189006,185509739
106263,496710000,453029000,731413000,671946000
106397,684163415,557873774,652202638,635232999
106412,29561616,31127843,95372964,84367807
106449,39908174,40584531,37868931,37169484
106458,148284363,146814628,201894484,184969150
106467,69703119,66384309,92083743,80642614
106485,16676395,16220118,41290476,38363491
106625,4770646,3715414,36218546,34514814
106704,126017612,101879641,98263585,89225985
106795,6746000,6752634,12203427,11771549
106829,,,,
106883,4471573,1841169,20219712,19659161
106980,15123306,15243598,19363446,19567155
106999,4821346,5351596,15799620,15695958
107071,38677906,38746600,41137133,36023359
107318,23406545,18890404,36365762,35869557
107327,6258643,6121569,23607416,23099020
107460,5328709,5788429,18972973,18621580
107488,,,,
107521,3232388,2133219,3648858,3836707
107549,3861735,3897531,10236402,9606742
107585,4807789,4306994,14749202,14154284
107619,14160670,14697282,18780581,14537767
107637,3594994,3033282,24452986,24409091
107664,50918430,52118590,39821099,35329083
107725,7330181,7747809,11352975,10029893
107743,1887400,1843781,12020974,12762489
107974,5041423,6042816,22619506,21745884
107983,48872813,43250484,42231946,40406447
107992,2370139,1777440,20887835,18507498
108056,19566445,14783824,31249743,26652575
108092,92040482,85605149,80296847,80046381
108667,,,,
108807,105885915,108016647,95344840,86281047
109208,,,,
109350,191862963,175640159,54019270,43835185
109819,336365837,337348702,171552684,173033918
109907,3311461,1889233,44982537,32168153
110246,120157418,106607929,147648736,146697271
110334,211066990,210282208,101465425,90921923
110398,47138283,48684228,143669146,131225185
110422,519321692,514558442,477619138,381037424
110486,44863127,44639873,117426823,109239083
110495,58073643,59768014,127019755,120221272
110501,1287637737,1131674406,-492478582,-118911947
110510,157196562,164000938,296149215,296778099
110529,233879778,225631127,366262566,351661472
110538,187969681,195981328,216308849,205054572
110547,60292775,63406558,186189852,176768191
110556,132541131,130706709,270790433,288585535
110565,430149125,441894549,426816787,412587195
110574,157365684,164690170,169828099,153055811
110583,223322177,235704489,471915212,457920181
110592,124808452,129271882,306627430,295596442
110608,260304989,251523302,484773955,451006348
110617,296086762,306030581,279773873,263178223
110635,,,,
110644,,,,
110653,,,,
110662,,,,
110671,,,,
110680,,,,
110699,,,,
110705,,,,
110714,,,,
111188,22471696,22771398,66873159,63804667
111434,129862434,130177017,25431372,31415817
111461,221106601,223577309,80715936,80564838
111887,161843640,139706032,70977346,76168379
111896,,,,
111920,372699837,356383818,49669964,63811901
111939,195278239,201602501,176591895,168771830
112172,93836022,98423231,69933426,74650291
112190,492918657,486670766,183686035,172410103
112367,,,,
112376,37587101,36787953,13486222,14500529
112385,66052230,64611880,23699489,25517940
112561,,,,
112686,84716956,84556483,26983355,26557197
112817,315144125,327489062,189476017,188369691
112826,,,,
113096,,,,
113111,,,,
113193,50299191,49624878,102305365,96568858
113218,,,,
113236,,,,
113573,330753149,337496838,138826714,136212178
113634,,,,
113856,,,,
113953,,,,
113980,218971876,218443093,113332839,110039241
114266,,,,
114433,4371765,6698560,14977216,10589466
114716,316172644,242299322,39680607,43630734
114789,77184045,79082923,90526546,84442786
114831,790431610,605748306,99201518,109076834
114859,,,,
114938,108965698,82330394,18618560,23279281
115001,100666645,98553642,70940904,73007839
115126,115952448,113487158,41603646,44732681
115287,250700842,254710806,119472241,120057042
115296,,,,
115393,145270322,142873517,75567486,76531235
115755,98656794,99062230,191594890,184176093
115861,102990714,74379274,-7169825,-6279691
116439,,,,
117052,56360616,61918590,145413586,143573075
117195,3121097,3281911,31097760,30082300
117247,,,,
117274,3451307,2968945,7439953,7047492
117645,420310848,440105297,46241422,49820258
117681,3997759224,3045393480,757974176,640860041
117690,,,,
117706,,,,
117715,,,,
117724,,,,
117733,,,,
117788,,,,
117803,,,,
117867,,,,
117894,,,,
117900,404926960,279695358,435899402,424999079
118347,204647075,155499262,44904402,46417150
118684,38704675,39112175,34187315,34109589
